Tag,Class,Description,Category,Keywords
Big Data,Skill,Promote the benefits of implementing big data strategies for specific data sets.,Big Data,Big Data
Billing,Skill,Use billing software and systems.,Billing,"billing, Entrepreneur"
Bio Statistics,Skill,Apply spatial and temporal statistical methods to analyze health trends.,Bio Statistics,Bio Statistics
Biological Systems,Skill,Predict the effects of human actions on the body.,Biological Systems,Biological Systems
Blueprinting,Skill,Verify building dimensions from a technical drawing.,Blueprinting,Blueprinting
Bookkeeping,Skill,"Manage internal bookkeeping systems that include organization's basic accounts: assets, liabilities, and equity.",Bookkeeping,Bookkeeping
Border Control,Skill,Differentiate jurisdiction between federal and state law violations that occur on or along the U.S. border.,Border Control,Border Control
Border Gateway Protocol,Skill,Implement Border Gateway Protocol solutions.,Border Gateway Protocol,Border Gateway Protocol
Brainstorming,Skill,Generate new ideas.,Brainstorming,"Brainstorming, Transferrable Skills Across Occupations, Transferrable Skills for Leaders"
Brand Awareness,Skill,Use social media to create brand awareness.,Brand Awareness,"Brand Awareness, Influencer"
Brand Management,Skill,Write brand copy with a social media team within an organization.,Brand Management,Brand Management
Brand Marketing,Skill,Maintain brand standards and guidelines.,Brand Marketing,"Brand Marketing, Influencer"
Brand Strategy,Skill,Develop a company employment branding value statement.,Brand Strategy,"Brand Strategy, Brand Management Software, Branding Strategy"
Branding,Skill,Utilize digital marketing platforms to increase brand visibility.,Branding,"Branding, Influencer"
Brokerage,Skill,Advise clients on proper financial strategies to achieve investment goals.,Brokerage,"Microsoft Office Suite, Brokerage"
Budget Process,Skill,Review raw data feeds to collect vital business information.,Budget Process,"Microsoft PowerPoint, Microsoft Excel, Microsoft Word, Budget Process, Microsoft Visio"
Budgeting,Skill,Report zero-based budgets.,Budgeting,Budgeting
Business Acumen,Skill,Describe how  parts of a business interact with each other.,Business Acumen,"Business Acumen, Harvard Business Review"
Business Administration,Skill,Implement standardized business policies and practices.,Business Administration,Business Administration
Business Analysis,Skill,Create well-defined requirements and complete acceptance criteria.,Business Analysis,Business Analysis
Business Case,Skill,Develop industry-specific business cases for environmental marketing strategies for product or services.,Business Case,"Marketing, Business Case"
Business Case Analysis,Skill,"Assess the impact of the business solution in addressing the problem in terms of organization improvement (cost or time savings, or other key performance indicators).",Business Case Analysis,Business Case Analysis
Business Communications,Skill,"Write clear, concise, and persuasive business documents.",Business Communications,"Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management, Business Communications"
Business Concepts,Skill,Identify  target demographics for a new product.,Business Concepts,Business Concepts
Business Continuity Planning,Skill,Identify standard operating procedures (SOPs) for basic continuity processes and procedures.,Business Continuity Planning,Business Continuity Planning
Business Development,Skill,Analyze business trends to determine customer base.,Business Development,"IBM Cognos Impromptu, Microsoft Outlook, Microsoft Office, Microsoft Dynamics, Business Development, Salesforce software"
Business Ethics,Skill,Conduct investigations into reported violations of the organization's ethical code.,Business Ethics,"Business Ethics, Professional Ethics, Thinking"
Business Intelligence,Skill,Use predictive modeling.,Business Intelligence,"Business Intelligence, Transferrable Skills for Leaders"
Business Intelligence Tools,Skill,Use business intelligence tools to collect and analyze data.,Business Intelligence Tools,"Transferrable Skills for Leaders, Business Intelligence Tools"
Business Networking,Skill,Use business networking to achieve business goals.,Business Networking,"Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management, Business Networking"
Business Operations,Skill,Demonstrate strategic planning when managing projects.,Business Operations,"Operations, Strategic Thinking, Business Operations, Project Management"
Business Planning,Skill,Plan the implementation of the organization's strategic direction.,Business Planning,"Planning, Business Planning"
Business Process,Skill,Align business processes with business strategy.,Business Process,"Missing, Business Process"
Business Process Management,Skill,Establish organizational vision to promote high business standards.,Business Process Management,Business Process Management
Business Proposals,Skill,Design a visually compelling proposal.,Business Proposals,"Business Proposals, Business Proposal, Proposal (Business)"
Business Requirements,Skill,"Standardize the use of tools and templates for business process workflows, use cases, user interface (UI) mock-ups, system specs, and system testing.",Business Requirements,Business Requirements
Business Software,Skill,Maintain International Business Machines (IBM) Resource Access Control Facility (RACF) in the organization.,Business Software,"Business Software, International Business Machines (IBM) Resilient, International Business Machines (IBM) Resource Access Control Facility (RACF)"
Business Strategies,Skill,"Develop vision and mission statements that describe an organization's direction, purpose, and objectives.",Business Strategies,"Microsoft PowerPoint, Microsoft Excel, Microsoft Word, QuickBooks, Business Strategies, SQL, Relationship Database Management software, Adobe Acrobat Systems, AdSense Tracker, Microsoft Access, Sage Accounting, Database reporting software"
Business Support Systems,Skill,Manage a website for a company.,Business Support Systems,"Business Support Systems, Support Systems, Business Support Systems (BSS)"
Business Systems,Skill,Troubleshoot business system problems.,Business Systems,"Business Systems, Systems Engineer"
Business Transformation,Skill,Support employees during a business transformation.,Business Transformation,"Transferrable Skills for Leaders, Change Manager, Business Transformation"
Business to Business,Skill,Develop strategic analysis based on business-to-business (B2B) insights.,Business to Business,Business to Business
C (Programming Language),Skill,Store multiple related variables of the same data type with an array.,C (Programming Language),"array, multiple variables"
C# (Programming Language),Skill,Create Windows-based applications and large-scale web applications using C#.,C# (Programming Language),"ASP.NET, C# (Programming Language), Windows Presentation Foundation (WPF), Windows Forms"
C++ (Programming Language),Skill,Create an object-oriented class with C++.,C++ (Programming Language),"C++, OOP, object oriented programming, class"
Calculations,Skill,Calculate principal.,Calculations,"Calculations, Calculation"
Call Centers,Skill,"Provide pharmacy hours, refills readiness, and prescription pickup times to callers.",Call Centers,"Call Centers, Call Handling, Patient Information, Records Release"
Capacity Planning,Skill,Gather technical and business requirements.,Capacity Planning,"Capacity Planning, Vendor documentation. Vendor Sizing guides. Performance monitoring software. Stress test software."
Cardiology,Skill,Perform a 12-lead electrocardiogram (EKG).,Cardiology,"Cardiology, 12-Lead, EKG, ECG"
Cardiopulmonary Resuscitation (CPR),Skill,Perform cardiopulmonary resuscitation (CPR) on a person who is experiencing cardiac arrest.,Cardiopulmonary Resuscitation (CPR),"Cardiopulmonary Resuscitation (CPR), Life Support, CPR, Cardiopulmonary Resuscitation, cardiac arrest"
Care Coordination,Skill,"Discuss treatment plans, diagnoses, or recommendations with a patient.",Care Coordination,"Medical Assistant, Care Coordination"
Care Delivery Models,Skill,Differentiate between traditional care models.,Care Delivery Models,"Medical Assistant, Care Delivery Models"
Care Delivery Process,Skill,"Assess the efficacy of nursing data to increase value in nursing interventions, nursing services, and patient outcomes.",Care Delivery Process,Care Delivery Process
Care Planning,Skill,Assess a patient's response to treatment.,Care Planning,Care Planning
Career Counseling,Skill,Support individuals in preparing for common hiring processes and experiences.,Career Counseling,Career Counseling
Career Development,Skill,Use networking to advance one's career.,Career Development,"Career Development, Professional Development and Career Management"
Career Management,Skill,Develop skills and knowledge to keep one's career progressing.,Career Management,"Professional Development and Career Management, Career Management"
Caring and Consideration,Skill,"Provide compassionate nursing care through action, attitude, and language.",Caring and Consideration,"Culturally Sensitive, Caring and Consideration, Self Care, Caregiving, Caring Nature, Sensitivity Analysis, Caring & Consideration, nursing care"
Cascading Style Sheets (CSS),Skill,"Define the text styles, table aspects, and aesthetics of a web page using cascading style sheets (CSS).",Cascading Style Sheets (CSS),Cascading Style Sheets (CSS)
Case Management,Skill,Create a workflow to resolve a case.,Case Management,"MS Office, Access, Case Management, Document Management software, SimplePractice, Conduent, MyCase, Clio"
Cash Flow Analysis,Skill,Recommend best practices on common methods of cash flow manipulation activities,Cash Flow Analysis,Cash Flow Analysis
Cash Handling,Skill,Process customer cash transactions.,Cash Handling,"Retail Sales Associate, Cash Handling"
Cash Register,Skill,Reconcile cash register totals with sales receipts.,Cash Register,"Retail Sales Associate, Cash Register"
Cataloguing,Skill,Apply bibliographic control standards to organize library materials and resources.,Cataloguing,Cataloguing
Causal Inference,Skill,Distinguish between relationships that are causal and non-causal.,Causal Inference,Causal Inference
Certified Ethical Hacker,Skill,Establish access to a system or resource by bypassing security restrictions using information obtained through vulnerability analysis.,Certified Ethical Hacker,"Kali Linux, Ethical Hacking (CEH Prep 2018), Nmap, Dradis, Certified Ethical Hacker, Certified Ethical Hacker (CEH), Certified Ethical Hacking"
Certified Public Accountant,Skill,Complete U.S. Securities and Exchange Commission (SEC) reporting and disclosure forms to ensure compliance to all related regulations.,Certified Public Accountant,"Certified Public Accountant, Public Accounting"
Change Agility,Skill,Stay open-minded and flexible.,Change Agility,"Transferrable Skills Across Occupations, Professional Development and Career Management, Change Manager, Change Agility"
Change Management,Skill,Collaborate with organization stakeholders to identify the changes needed to complete a project.,Change Management,"Collaboration, Change Management, Flowcharts / Process Maps, Kotter's 8 Step Change Model, Gantt charts, Flowcharts, Process Maps"
Chatbot,Skill,Implement security chatbots in the organization.,Chatbot,"Chatbot, Security Chatbot"
Checkmarx,Skill,Maintain Checkmarx in the organization.,Checkmarx,Checkmarx
Chemical Engineering,Skill,Perform lab experiments and studies to develop new products.,Chemical Engineering,"MATLAB, Chemical Engineering, EPCON International CHEMPRO Engineering Suite"
Chemical Hazards,Skill,Provide adequate ventilation in enclosed areas.,Chemical Hazards,chemical hazards
Chemical Hygiene,Skill,Interpret safety precautions in Safety Data Sheets (SDS).,Chemical Hygiene,Chemical Hygiene
Chest Physiotherapy,Skill,Evaluate a patient's  response to chest physiotherapy (CPT).,Chest Physiotherapy,"Chest Physiotherapy, CPT, Postural Drainage, Airway Clearance"
Circular 230,Skill,Comply with the law by including the Circular 230 disclaimer in correspondence.,Circular 230,Circular 230
Circulatory Systems,Skill,"Assess a patient for a normal, thready, or bounding pulse.",Circulatory Systems,"Pulse, Circulatory Systems, thready, bounding, palpate"
Civic Disposition,Skill,Determine the impacts of collective perspectives on underrepresented groups.,Civic Disposition,"group, civic, collective, mood, perspective, determine"
Civic Engagement,Skill,Create an environment of belonging for others.,Civic Engagement,"Character, 21st Century Skills, Allyship, Diversity, Civic Engagement, Inclusion, Citizenship, Civic Responsibility, Healthy Learning Strategies"
Civic Identity,Skill,Engage in the socio-political climate for positive change within the community setting.,Civic Identity,"Community Management, Civic Engagement, Civic Identity, Community Development, Community Planning"
Civic Literacy,Skill,"Describe the structure and function of government at the local, state, and federal levels.",Civic Literacy,"Political Sciences, Foundational Literacies, Civic Literacy"
Civil Engineering,Skill,Determine the structural feasibility of a construction project.,Civil Engineering,"Civil Engineering, Construction, International Building Codes, ASCE Standards"
Classroom Management,Skill,Implement classroom organizational routines for virtual environments.,Classroom Management,"Classroom Management, NGT, K-12 Teacher"
Cleanliness,Skill,Maintain a clean work environment for the reduction of workplace hazards.,Cleanliness,"Cleanliness, clean, safe"
Clerical Works,Skill,Respond to workplace communication.,Clerical Works,Clerical Works
Client Rapport,Skill,Develop strategic partnerships around shared initiatives.,Client Rapport,Client Rapport
Client Services,Skill,Support a patient throughout a treatment plan.,Client Services,Client Services
Climate Engineering,Skill,Evaluate technologies proposed for climate engineering.,Climate Engineering,Climate Engineering
Clinical Documentation,Skill,Record behaviors that may impede patient progress.,Clinical Documentation,"Medical Assistant, Chart Links, Client information database software, Electronic medical record EMR software, Clinical Documentation, Word recognition software"
Clinical Evaluation,Skill,Interpret assessment and testing data to formulate appropriate nursing diagnosis and actions.,Clinical Evaluation,"Clinical Evaluation, Clinical Judgement"
Clinical Experience,Skill,Evaluate a patient's condition based on venous blood gas (VBG) results.,Clinical Experience,"Clinical Experience, Blood Gas, Acidosis, Alkalosis, VBG, venous blood gas"
Clinical Leadership,Skill,Interpret background information about specifications or a design decision related to a health information technology application.,Clinical Leadership,Clinical Leadership
Clinical Practices,Skill,Determine a treatment plan for a patient.,Clinical Practices,"Clinical Practices, Electronic Medical Record System, Pharmacy Management software, Clinical Diagnostic Equipment, Medical Laboratory Equipment, Radiology Diagnostic Equipment, False Positive"
Clinical Reasoning,Skill,Update a treatment plan to address patient complications.,Clinical Reasoning,Clinical Reasoning
Clinical Research,Skill,"Communicate data listings and tables review, including scientific content and data validation.",Clinical Research,Clinical Research
Cloud Access Security Broker (CASB) Management,Skill,"Respond to negligent or malicious insider threats, privileged user threats, and compromised accounts in cloud environments.",Cloud Access Security Broker (CASB) Management,"Cloud Access Security Broker (CASB) Management, Cloud Access Security Broker Tools (CASBs), Netskope, Bitglass"
Cloud Computing,Skill,Implement software as a service (SaaS).,Cloud Computing,"Visual Studio, Cloud Computing, Azure Portal, Cloud Administration"
Cloud Computing Architecture,Skill,Educate stakeholders on the pros and cons of cloud solutions for a project.,Cloud Computing Architecture,"Web Performance Optimization, Cloud Computing Architecture, Service Visualization"
Cloud Computing Security,Skill,Identify the need for changes to user groups or instance accesses.,Cloud Computing Security,"Cloud Computing Security, Cloud Security"
Coaching,Skill,Work collaboratively with the client to identify techniques and strategies to achieve their goals.,Coaching,"Coaching, Change Manager"
Code Enforcement,Skill,Differentiate between municipal code violations and state criminal violations.,Code Enforcement,Code Enforcement
Code Review,Skill,Implement static application security testing.,Code Review,"Information Systems Security, Code Review, Security for Hackers and Developers: Code Auditing"
